院校ID, 院校名称        , 地区  , 类型  , 院校标签      , 行业标签, 所属部委, 专业组ID        , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID            , 专业名称              , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注, 专业备注
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9901  , 监狱学（政治工作方向）,          0,          0,            0,          0,          0,            0,          6,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生4名，女生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9902  , 监狱学                ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生3名。须按要求参加政治考察、体检、体能测试和面试并合格，只招男生，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9903  , 监狱学（矫正教育方向）,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生3名。须按要求参加政治考察、体检、体能测试和面试并合格，只招男生，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9904  , 监狱学（心理矫治方向）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生1名，女生1名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9905  , 司法警察学            ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生2名。须按要求参加政治考察、体检、体能测试和面试并合格，只招男生，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXYTQCw99  , 专业组99  , 物理组    , 提前本科批C段, 不限    , ZYSFJGXYTQCw9906  , 监狱学（劳动改造方向）,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生1名。须按要求参加政治考察、体检、体能测试和面试并合格，只招男生，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXXYPBw99  , 专业组99  , 物理组    , 本科批B段    , 不限    , ZYSFJGXXYPBw9901  , 监狱学（矫正教育方向）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划,           , "仅限通过国家专项资格审查考生报考。招男生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 公办          ,         , 司法部  , ZYSFJGXXYPBw99  , 专业组99  , 物理组    , 本科批B段    , 不限    , ZYSFJGXXYPBw9902  , 监狱学（政治工作方向）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划,           , "仅限通过国家专项资格审查考生报考。招男生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 警校 本科 公办, 政法    , 司法部  , ZYSFJGXYTQCw99化, 专业组99  , 物理组    , 提前本科批C段, 化学    , ZYSFJGXYTQCw99化01, 数据警务技术          ,          0,          0,            0,          0,          0,            0,          6,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生4名，女生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 警校 本科 公办, 政法    , 司法部  , ZYSFJGXXYPBw99化, 专业组99  , 物理组    , 本科批B段    , 化学    , ZYSFJGXXYPBw99化01, 数据警务技术          ,          0,          0,            0,          0,          0,            0,          4,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划,           , "仅限通过国家专项资格审查考生报考。招男生4名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 警校 本科 公办, 政法    , 司法部  , ZYSFJGXYTQCw99政, 专业组99  , 物理组    , 提前本科批C段, 思想政治, ZYSFJGXYTQCw99政01, 侦查学（狱内侦查方向）,          0,          0,            0,          0,          0,            0,          7,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生5名，女生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 警校 本科 公办, 政法    , 司法部  , ZYSFJGXYTQCw99政, 专业组99  , 物理组    , 提前本科批C段, 思想政治, ZYSFJGXYTQCw99政02, 禁毒学（戒毒方向）    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,           , "招男生1名。须按要求参加政治考察、体检、体能测试和面试并合格，只招男生，5060元/年"
  1327, 中央司法警官学院, 河北省, 政法类, 警校 本科 公办, 政法    , 司法部  , ZYSFJGXXYPBw99政, 专业组99  , 物理组    , 本科批B段    , 思想政治, ZYSFJGXXYPBw99政01, 侦查学（狱内侦查方向）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划,           , "仅限通过国家专项资格审查考生报考。招男生2名。须按要求参加政治考察、体检、体能测试和面试并合格，5060元/年"
