院校ID, 院校名称        , 地区      , 类型  , 院校标签                                             , 行业标签, 所属部委      , 专业组ID     , 专业组名称, 专业组类别, 批次     , 选考科目, 专业ID         , 专业名称                          , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签  , 专业组备注  , 专业备注
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPAw99, 专业组99  , 物理组    , 本科批A段, 化学    , BJHKHTDXPAw9901, 工科试验班类（航空航天类）        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 高校专项计划, 高校专项计划, "含智能飞行器技术、空天智能电推进技术、智能制造工程、纳米材料与技术、低空技术与工程等专业，具体包含专业详见学校招生信息报考指南专栏，学费5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPAw99, 专业组99  , 物理组    , 本科批A段, 化学    , BJHKHTDXPAw9902, 理科试验班类                      ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 高校专项计划, 高校专项计划, "含数学与应用数学、信息与计算科学等专业，具体包含专业详见学校招生信息报考指南专栏，学费5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0101, 工科试验班类（航空航天类）        ,          0,          0,            0,          0,          0,            0,         14,          0,            0,          0,          0,            0,         17,        664,          456,          0,          0,            0,         17,        658,          516,          0,          0,            0,             ,             , "含智能飞行器技术、空天智能电推进技术、智能制造工程、纳米材料与技术、低空技术与工程等专业，具体包含专业详见学校招生信息报考指南专栏，沙河校区，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0102, 理科试验班类                      ,          0,          0,            0,          0,          0,            0,          7,          0,            0,          0,          0,            0,          7,        665,          425,          0,          0,            0,          5,        661,          435,          0,          0,            0,             ,             , "含数学与应用数学、信息与计算科学等专业，具体包含专业详见学校招生信息报考指南专栏，沙河校区，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0103, 工科试验班类（信息科学与技术类）  ,          0,          0,            0,          0,          0,            0,          7,          0,            0,          0,          0,            0,         14,        663,          488,          0,          0,            0,         16,        662,          415,          0,          0,            0,             ,             , "含电子信息工程、通信工程、自动化等专业，具体包含专业详见学校招生信息报考指南专栏，学院路校区，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0104, 工科试验班类（计算与智能科学类）  ,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,             , "含计算机科学与技术、软件工程、人工智能等专业，具体包含专业详见学校招生信息报考指南专栏，学院路校区，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0105, 工科试验班类（医工交叉试验班）    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,        665,          425,          0,          0,            0,          3,        665,          345,          0,          0,            0,             ,             , 四年，5500元/年
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0106, 网络空间安全（卓越人才培养试验班）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,        668,          340,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,             , 四年，5500元/年
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0107, 物理学（拔尖学生培养计划）        ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,        665,          425,          0,          0,            0,          0,          0,            0,          0,          0,            0,             ,             , "含物理学-微电子科学与工程双学士学位项目，不录取无该专业志愿考生，沙河校区，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa01, 专业组01  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0108, 工科试验班类（未来空天领军计划）  ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          1,        669,          314,          0,          0,            0,          1,        667,          307,          0,          0,            0,             ,             , "包含专业：智能飞行器技术、智能感知工程，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa02, 专业组02  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0201, 工科试验班类（航空航天类）        ,          0,          0,            0,          0,          0,            0,         15,          0,            0,          0,          0,            0,         15,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划, 国家专项计划, "沙河校区，含智能飞行器技术、空天智能电推进技术、智能制造工程、纳米材料与技术、低空技术与工程等专业，具体包含专业详见学校招生信息报考指南专栏，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa02, 专业组02  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0202, 理科试验班类                      ,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划, 国家专项计划, "沙河校区，含数学与应用数学、信息与计算科学等专业，具体包含专业详见学校招生信息报考指南专栏，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa03, 专业组03  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0301, 工科试验班类（航空航天类）        ,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          5,        657,          681,          0,          0,            0,          0,        652,          718,          0,          0,            0, 民族班      , 民族班      , "沙河校区，含智能飞行器技术、空天智能电推进技术、智能制造工程、纳米材料与技术、低空技术与工程等专业，具体包含专业详见学校招生信息报考指南专栏，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa03, 专业组03  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0302, 理科试验班类                      ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          2,        656,          721,          0,          0,            0,          0,        651,          762,          0,          0,            0, 民族班      , 民族班      , "沙河校区，含数学与应用数学、信息与计算科学等专业，具体包含专业详见学校招生信息报考指南专栏，四年，5500元/年"
  1106, 北京航空航天大学, 北京海淀区, 理工类, 985、211、双一流、强基、101计划、国防七子、本科、公办,         , 工业和信息化部, BJHKHTDXPBa04, 专业组04  , 物理组    , 本科批B段, 化学    , BJHKHTDXPBa0401, 工科试验班类（中外合作办学，中法航空试验班）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 中外合作办学, 中外合作办学, "杭州校区，包含专业：交通运输、飞行器适航技术、测控技术与仪器、电子信息工程，与法国国立民航大学联合培养，本科阶段不可转入北京市各校区设立的学院学习，四年，40000元/年"