院校ID, 院校名称    , 地区  , 类型  , 院校标签                                       , 行业标签  , 所属部委, 专业组ID, 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID, 专业名称        , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQAw99, 优师计划物理组化学, 物理组    , 本科提前批A段, 化学    , HDSFDBKTQAw9901, 物理学（师范类）,          0,          0,            0,          0,          0,            0,          2,        620,            0,      622.5,        625,            0,          2,        628,            0,      633.5,        639,            0,          2,        612,            0,        615,        618,            0, 优师专项、免学费, 优师专项 免学费, "填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQAw99, 优师计划物理组化学, 物理组    , 本科提前批A段, 化学    , HDSFDBKTQAw9902, 数学与应用数学（师范类）,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          2,        632,            0,      633.5,        635,            0,          2,        628,            0,      628.5,        629,            0, 优师专项、免学费, 优师专项 免学费, "填报办法、报考条件及定向县招生计划分配等情况，请登录云南省招考频道查阅《云南省2025年优师专项考生须知》"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQDw01, 专业组01  , 物理组    , 本科提前批D段, 化学    , HDSFDBKTQDw0101, 数学与应用数学（师范类）,          0,          0,            0,          0,          0,            0,          7,        647,            0,        651,        664,            0,          7,        639,            0,        640,        641,            0,          7,        660,            0,      660.5,        661,            0, 公费师范生、免学费, 国家公费师范生本研衔接培养, "定向任教地：昆明市、曲靖市、大理州、红河州、普洱市"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQDw01, 专业组01  , 物理组    , 本科提前批D段, 化学    , HDSFDBKTQDw0102, 地理科学（师范类）,          0,          0,            0,          0,          0,            0,          2,        639,            0,      641.5,        644,            0,          2,        640,            0,        640,        640,            0,          2,        649,            0,        649,        649,            0, 公费师范生、免学费, 国家公费师范生本研衔接培养, "定向任教地：普洱市、临沧市"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQDw01, 专业组01  , 物理组    , 本科提前批D段, 化学    , HDSFDBKTQDw0103, 化学（师范类）,          0,          0,            0,          0,          0,            0,          1,        646,            0,        646,        646,            0,          1,        646,            0,      646.5,        647,            0,          1,        647,            0,        649,        651,            0, 公费师范生、免学费, 国家公费师范生本研衔接培养, "定向任教地：临沧市"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQDw01, 专业组01  , 物理组    , 本科提前批D段, 化学    , HDSFDBKTQDw0104, 物理学（师范类）,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        636,            0,        637,        638,            0,          1,        658,            0,        667,        676,            0, 公费师范生、免学费, 国家公费师范生本研衔接培养, "定向任教地：昆明市、曲靖市、大理州、红河州、普洱市"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKTQDw01, 专业组01  , 物理组    , 本科提前批D段, 化学    , HDSFDBKTQDw0105, 生物科学（师范类）,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        640,            0,        655,        670,            0,          1,        654,            0,      655.5,        657,            0, 公费师范生、免学费, 国家公费师范生本研衔接培养, "定向任教地：昆明市、曲靖市、大理州、红河州、普洱市"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPAw99, 专业组99  , 物理组    , 本科批A段  , 化学    , HDSFDBKPAw9901, 心理学类,          0,          0,            0,          0,          0,            0,          1,        627,            0,        627,        627,            0,          1,        573,            0,        573,        573,            0,          1,        576,            0,        576,        576,            0, 高校专项计划, 高校专项计划, "包含专业:心理学、应用心理学, 普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPAw99, 专业组99  , 物理组    , 本科批A段  , 化学    , HDSFDBKPAw9902, 物理学,          0,          0,            0,          0,          0,            0,          1,        624,            0,        624,        624,            0,          1,        622,            0,        622,        622,            0,          1,        623,            0,        623,        623,            0, 高校专项计划, 高校专项计划, "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPAw99, 专业组99  , 物理组    , 本科批A段  , 化学    , HDSFDBKPAw9903, 化学,          0,          0,            0,          0,          0,            0,          1,        625,            0,        625,        625,            0,          1,        595,            0,        595,        595,            0,          1,        616,            0,        616,        616,            0, 高校专项计划, 高校专项计划, "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPAw99, 专业组99  , 物理组    , 本科批A段  , 化学    , HDSFDBKPAw9904, 生物科学类,          0,          0,            0,          0,          0,            0,          1,        614,            0,        614,        614,            0,          1,        602,            0,        602,        602,            0,          1,        605,            0,        605,        605,            0, 高校专项计划, 高校专项计划, "包含专业:生物科学、生物技术, 闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPAw99, 专业组99  , 物理组    , 本科批A段  , 化学    , HDSFDBKPAw9905, 听力与言语康复学,          0,          0,            0,          0,          0,            0,          1,        611,            0,        611,        611,            0,          1,        580,            0,        580,        580,            0,          1,        574,            0,        574,        574,            0, 高校专项计划, 高校专项计划, "普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0201, 微电子科学与工程,          0,          0,            0,          0,          0,            0,          4,        634,            0,        634,        634,            0,          4,        632,            0,        633,        634,            0,          4,        621,            0,        621,        621,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0202, 软件工程,          0,          0,            0,          0,          0,            0,          3,        639,            0,        640,        641,            0,          3,        633,            0,      634.7,        637,            0,          3,        611,            0,      626.5,        642,            0, , , "第三、四年学费16000元/年，大三下学期至大四学年到临港我校滴水湖国际软件学院就读"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0203, 计算机科学与技术,          0,          0,            0,          0,          0,            0,          3,        634,            0,        635,        636,            0,          3,        632,            0,      632.7,        633,            0,          3,        610,            0,      621.5,        636,            0, , , "普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0204, 统计学类,          0,          0,            0,          0,          0,            0,          3,        635,            0,      641.3,        648,            0,          3,        638,            0,      639.5,        641,            0,          3,        619,            0,        622,        625,            0, , , "包含专业：统计学、数据科学，普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0205, 生态学,          0,          0,            0,          0,          0,            0,          2,        632,            0,        632,        632,            0,          2,        630,            0,        631,        632,            0,          0,          0,            0,          0,          0,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0206, 化学,          0,          0,            0,          0,          0,            0,          2,        632,            0,      632.5,        633,            0,          2,        630,            0,        632,        634,            0,          0,          0,            0,          0,          0,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0207, 数据科学与大数据技术,          0,          0,            0,          0,          0,            0,          2,        636,            0,        637,        638,            0,          2,        634,            0,      635.5,        637,            0,          2,        631,            0,        634,        639,            0, , , "普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0208, 通信工程,          0,          0,            0,          0,          0,            0,          2,        636,            0,        636,        636,            0,          2,        631,            0,        631,        631,            0,          2,        618,            0,      619.5,        621,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0209, 物理学,          0,          0,            0,          0,          0,            0,          2,        633,            0,        633,        633,            0,          2,        632,            0,        632,        632,            0,          2,        627,            0,        630,        633,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0210, 数学与应用数学,          0,          0,            0,          0,          0,            0,          2,        638,            0,        639,        640,            0,          2,        636,            0,      637.5,        639,            0,          2,        639,            0,      644.5,        650,            0, , , "闵行校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw02, 专业组02  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0211, 心理学类,          0,          0,            0,          0,          0,            0,          2,        638,            0,      642.5,        647,            0,          2,        635,            0,        637,        639,            0,          2,        615,            0,      626.5,        638,            0, , , "包含专业：心理学、应用心理学，普陀校区"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0301, 地理信息科学,          0,          0,            0,          0,          0,            0,          3,        533,            0,      543.3,        550,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划, , "闵行校区；国家专项计划"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0302, 生态学,          0,          0,            0,          0,          0,            0,          2,        490,            0,        535,        580,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划, , "闵行校区；国家专项计划"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0303, 环境科学与工程类,          0,          0,            0,          0,          0,            0,          2,        521,            0,        530,        539,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0, 国家专项计划, , "闵行校区；国家专项计划，包含专业：环境科学、环境生态工程"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0304, 地理科学,          0,          0,            0,          0,          0,            0,          2,        565,            0,        588,        611,            0,          1,        612,            0,        613,        614,            0,          1,        624,            0,        624,        624,            0, 国家专项计划, , "闵行校区；国家专项计划"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0305, 生物科学类,          0,          0,            0,          0,          0,            0,          2,        632,            0,        634,        636,            0,          1,        614,            0,        618,        622,            0,          1,        625,            0,      629.7,        634,            0, 国家专项计划, , "闵行校区；国家专项计划，包含专业：生物科学、生物技术"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0306, 化学,          0,          0,            0,          0,          0,            0,          2,        585,            0,        589,        593,            0,          1,        618,            0,        624,        629,            0,          1,        635,            0,      638.3,        642,            0, 国家专项计划, , "闵行校区；国家专项计划"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0307, 物理学（公费师范）,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        625,            0,      629.3,        632,            0,          1,        621,            0,      622.5,        624,            0, 国家专项计划, , "闵行校区；国家专项计划"
  3113, 华东师范大学, 上海市, 综合类, 985、211、双一流、强基计划、师大六姐妹、101计划、公办, 教育、科研, 教育部  , HDSFDBKPBw03, 专业组03  , 物理组    , 本科批B段  , 化学    , HDSFDBKPBw0308, 数学与应用数学（公费师范）,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          1,        626,            0,        632,        638,            0,          1,        638,            0,      640.5,        643,            0, 国家专项计划, , "闵行校区；国家专项计划"