院校ID, 院校名称                  , 地区    , 类型, 院校标签        , 行业标签, 所属部委    , 专业组ID     , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID         , 专业名称                              , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0101, 通信工程（通信网络初级指挥与技术警官）    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通信导航岗位合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0201, 法学（执勤分队初级指挥警官）            ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0202, 作战指挥（机动分队初级指挥警官）          ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0203, 法学（海警执法初级指挥警官）            ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0204, 指挥信息系统工程（执勤分队初级指挥警官）    ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0205, 认知安全与技术（执勤分队初级指挥警官）      ,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0206, 指挥信息系统工程（数据信息初级技术警官）    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0301, 信息安全（机动分队初级指挥警官）          ,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0302, 网络空间安全（执勤分队初级指挥警官）        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0303, 无人系统指挥与控制（机动分队初级指挥警官）  ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0304, 作战环境工程（机动分队初级指挥警官）        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0305, 管理科学（执勤分队初级指挥警官）          ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0306, 数据科学与大数据技术（数据信息初级指挥与技术警官）,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0307, 作战环境工程（数据信息初级技术警官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招男生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 不限    , WJGCDXTQBw0401, 法学（海警执法初级指挥警官）            ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招女生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
  9139, 武警工程大学              , 陕西西安市, 警校, 警校、军校、公办、本科, 军事    , 武警总部    , WJGCDXTQBw05, 专业组05  , 物理组    , 提前本科批B段, 化学    , WJGCDXTQBw0501, 数据科学与大数据技术（数据信息初级指挥与技术警官）,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,           , 只招女生  , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"