院校ID, 院校名称                  , 地区      , 类型  , 院校标签                                                 , 行业标签  , 所属部委    , 专业组ID     , 专业组名称, 专业组类别, 批次         , 选考科目, 专业ID       , 专业名称                                    , 2026计划数, 2026最低分, 2026最低位次, 2026平均分, 2026最高分, 2026最高位次, 2025计划数, 2025最低分, 2025最低位次, 2025平均分, 2025最高分, 2025最高位次, 2024计划数, 2024最低分, 2024最低位次, 2024平均分, 2024最高分, 2024最高位次, 2023计划数, 2023最低分, 2023最低位次, 2023平均分, 2023最高分, 2023最高位次, 专业组标签, 专业组备注, 专业备注
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , HJJGCXTQBw0101, 测控工程（测控初级指挥与技术军官）            ,          0,          0,            0,          0,          0,            0,          5,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , HJJGCXTQBw0102, 侦测工程（遥测、侦测和信息处理初级指挥与技术军官）,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw01, 专业组01  , 物理组    , 提前本科批B段, 不限    , HJJGCXTQBw0103, 导弹工程（测发控综合初级指挥与技术军官）        ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0201, 武器发射工程（发射、装填转运初级指挥与技术军官）  ,          0,          0,            0,          0,          0,            0,         22,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0202, 电子信息工程（战斗部测试初级技术军官）          ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0203, 智能装备与系统（智能装备发射控制初级指挥与技术军官）,          0,          0,            0,          0,          0,            0,          2,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0204, 电气工程与智能控制（国防工程综合保障初级指挥与技术军官）,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0205, 通信工程（通信综合保障初级指挥与技术军官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0206, 飞行器动力工程（发动机测试管理初级指挥军官）      ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0207, 核工程与核技术（器材装配检测、转载运输初级技术军官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw02, 专业组02  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0208, 辐射防护与核安全（辐射防护与核安全管理初级技术军官）    ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw03, 专业组03  , 物理组    , 提前本科批B段, 化学    , HJJGCXTQBw0301, 土木工程（国防工程建筑初级指挥与技术军官）            ,          0,          0,            0,          0,          0,            0,          3,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招男生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检通用标准合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 不限    , HJJGCXTQBw0401, 任务规划（任务规划初级技术军官）                  ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招女生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
9117, 火箭军工程大学              , 陕西西安  , 军校, 本科、公办、军校                                         , 军事、科研, 解放军火箭军, HJJGCXTQBw04, 专业组04  , 物理组    , 提前本科批B段, 不限    , HJJGCXTQBw0402, 指挥信息系统工程（智能信息系统使用管理初级技术军官）        ,          0,          0,            0,          0,          0,            0,          1,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,          0,          0,            0,                     , 只招女生    , "只招英语语种、高考成绩须达到特殊类型资格线、体检导弹岗位合格、免学费"
